date,sentiment,daily_pnl,daily_volume,n_trades
2025-03-31,Fear,6978.184557,2164772.4699999997,495
2025-04-01,Fear,-2202.6622420000003,704445.1900000001,192
2025-04-02,Fear,202212.740938,3867930.6,1076
2025-04-03,Fear,-2365.961276,8670233.15,1748
2025-04-04,Fear,-25515.678949999998,3835545.73,1272
2025-04-05,Fear,35907.33771,1267564.22,360
2025-04-06,Fear,47053.449272,3551252.06,1048
2025-04-07,Extreme Fear,34527.370305,14460253.14,2814
2025-04-08,Extreme Fear,34899.394798,8869391.4,943
2025-04-09,Extreme Fear,43120.444797,28556806.47,3967
2025-04-10,Fear,158261.822261,28741953.29,2127
2025-04-11,Fear,126406.479081,11319327.07,1096
2025-04-12,Fear,410419.694533,55914617.49,2109
2025-04-13,Neutral,48696.021521,14171154.79,1321
2025-04-14,Fear,45680.443063,13079972.98,890
2025-04-15,Fear,72357.706282,20752168.24,1131
2025-04-16,Fear,58631.730257,36502715.9,1608
2025-04-17,Fear,5427.919886,2604551.51,1031
2025-04-18,Fear,4880.4047439999995,24610650.46,1894
2025-04-19,Fear,71950.577495,32706462.71,2786
2025-04-20,Fear,25060.341936,12126094.05,1982
2025-04-21,Fear,34369.267906999994,42104054.84,1718
2025-04-22,Neutral,58652.763578,33753625.24,2998
2025-04-23,Greed,-419020.225731,30682443.79,6159
2025-04-24,Greed,50704.395965,35088918.64,2232
2025-04-25,Greed,20218.859206,27749455.78,1653
2025-04-26,Greed,-4125.753942,11948127.77,1131
2025-04-27,Greed,2702.067468,487537.69,337
2025-04-28,Neutral,36906.813759,26124921.49,1379
2025-04-29,Greed,125749.613427,34089511.66,2243
2025-04-30,Greed,14003.797269,12693878.85,1113
2025-05-01,Neutral,54536.829297000004,10720240.52,1230
